Club,League,Игрок,М,Мин,З,ВнЗ,Г,Пен,П,Г+П,ЖК,КК
Барселона,Испания. Ла Лига 2020/2021,Педри,35.0,2317,20,9,2,0,3,5,2,0
Барселона,Испания. Ла Лига 2020/2021,Френки де Йонг,35.0,2996,5,2,3,0,4,7,4,0
Барселона,Испания. Ла Лига 2020/2021,Антуан Гризманн,33.0,2382,18,4,12,1,7,19,4,0
Барселона,Испания. Ла Лига 2020/2021,Лионель Месси,33.0,2844,1,2,28,3,9,37,4,0
Барселона,Испания. Ла Лига 2020/2021,Серджи Бускетс,33.0,2266,19,4,0,0,4,4,8,0
Барселона,Испания. Ла Лига 2020/2021,Жорди Альба,32.0,2806,6,0,3,0,5,8,9,0
Барселона,Испания. Ла Лига 2020/2021,Клеман Лангле,31.0,2308,4,4,1,0,0,1,6,1
Барселона,Испания. Ла Лига 2020/2021,Серджиньо Дест,27.0,1797,14,5,2,0,1,3,1,0
Барселона,Испания. Ла Лига 2020/2021,Усман Дембеле,27.0,1546,12,11,5,0,2,7,2,0
Барселона,Испания. Ла Лига 2020/2021,Мартин Брэйтуэйт,26.0,1103,4,15,2,0,2,4,3,0
Барселона,Испания. Ла Лига 2020/2021,Франсишку Тринкау,26.0,640,1,24,3,0,2,5,1,0
Барселона,Испания. Ла Лига 2020/2021,Оскар Мингеса,25.0,1846,7,3,2,0,2,4,4,0
Барселона,Испания. Ла Лига 2020/2021,Рональд Араухо,21.0,1289,4,8,2,0,1,3,2,0
Барселона,Испания. Ла Лига 2020/2021,Миралем Пьянич,17.0,610,5,11,0,0,0,0,1,0
Барселона,Испания. Ла Лига 2020/2021,Жерар Пике,16.0,1332,4,0,0,0,0,0,4,0
Барселона,Испания. Ла Лига 2020/2021,Серджи Роберто,14.0,909,2,5,1,0,2,3,1,0
Барселона,Испания. Ла Лига 2020/2021,Илайш Мориба,12.0,406,2,10,1,0,2,3,1,0
Барселона,Испания. Ла Лига 2020/2021,Самюэль Умтити,12.0,601,1,6,0,0,0,0,1,0
Барселона,Испания. Ла Лига 2020/2021,Филиппе Коутиньо,12.0,661,7,4,2,0,2,4,0,0
Барселона,Испания. Ла Лига 2020/2021,Рикард Пуч,11.0,206,1,9,1,0,0,1,0,0
Барселона,Испания. Ла Лига 2020/2021,Анссумане Фати,7.0,438,6,1,4,0,0,4,1,0
Барселона,Испания. Ла Лига 2020/2021,Хуниор Фирпо,6.0,244,0,4,1,0,1,2,1,0
Барселона,Испания. Ла Лига 2020/2021,Карлес Аленья,2.0,48,0,2,0,0,0,0,1,0
Барселона,Испания. Ла Лига 2020/2021,Всего,,31595,143,143,75,4,49,124,61,1
Барселона,Лига чемпионов 2020/2021,Клеман Лангле,8.0,562,3,1,0,0,0,0,2,0
